City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yulara,AU,2021-10-27 14:59:23,-25.2406,130.9889,76.84,22,67,0.0,broken clouds
1,Bredasdorp,ZA,2021-10-27 14:59:23,-34.5322,20.0403,76.28,80,100,15.68,light rain
2,Hamilton,US,2021-10-27 14:58:52,39.1834,-84.5333,50.99,81,66,1.01,broken clouds
3,Butaritari,KI,2021-10-27 14:59:24,3.0707,172.7902,82.29,72,100,13.58,light rain
4,Aklavik,CA,2021-10-27 14:59:24,68.2191,-135.0107,27.32,95,100,5.35,overcast clouds
5,Alofi,NU,2021-10-27 14:59:24,-19.0595,-169.9187,73.29,73,42,11.5,scattered clouds
6,Paamiut,GL,2021-10-27 14:54:35,61.994,-49.6678,32.4,65,3,9.42,clear sky
7,Svetlaya,RU,2021-10-27 14:59:25,46.5389,138.3297,44.44,74,99,7.0,overcast clouds
8,Dudinka,RU,2021-10-27 14:59:25,69.4058,86.1778,-3.06,97,98,11.99,overcast clouds
9,Champerico,GT,2021-10-27 14:59:26,14.3,-91.9167,88.36,83,40,5.99,scattered clouds
10,Oktyabrskiy,RU,2021-10-27 14:59:26,54.4815,53.471,39.38,63,100,15.17,overcast clouds
11,Ushuaia,AR,2021-10-27 14:57:11,-54.8,-68.3,49.66,57,75,5.75,broken clouds
12,Guarapari,BR,2021-10-27 14:54:37,-20.6667,-40.4975,84.09,70,75,13.35,broken clouds
13,Urubicha,BO,2021-10-27 14:54:37,-15.3833,-62.95,96.93,31,55,1.86,broken clouds
14,Bambous Virieux,MU,2021-10-27 14:54:37,-20.3428,57.7575,75.45,69,20,10.36,few clouds
15,Albany,US,2021-10-27 14:59:27,42.6001,-73.9662,55.81,76,94,10.49,overcast clouds
16,Puerto Ayora,EC,2021-10-27 14:59:27,-0.7393,-90.3518,69.76,99,94,3.0,light rain
17,Koungou,YT,2021-10-27 14:59:28,-12.7336,45.2042,82.11,65,0,4.61,clear sky
18,Arraial Do Cabo,BR,2021-10-27 14:59:28,-22.9661,-42.0278,78.76,83,75,13.8,light rain
19,Punta Arenas,CL,2021-10-27 14:59:28,-53.15,-70.9167,51.91,66,75,28.77,broken clouds
20,Bluff,NZ,2021-10-27 14:59:29,-46.6,168.3333,53.28,84,38,2.8,scattered clouds
21,Hermanus,ZA,2021-10-27 14:59:29,-34.4187,19.2345,76.8,74,100,9.84,light rain
22,Leh,IN,2021-10-27 14:59:29,34.1667,77.5833,28.27,57,19,2.82,few clouds
23,Ribeira Grande,PT,2021-10-27 14:59:30,38.5167,-28.7,68.4,77,75,13.8,broken clouds
24,Chokurdakh,RU,2021-10-27 14:59:30,70.6333,147.9167,2.17,91,100,5.39,overcast clouds
25,Podosinovets,RU,2021-10-27 14:59:30,60.2776,47.0659,34.83,98,100,8.72,light rain
26,Ternate,ID,2021-10-27 14:59:31,0.8,127.4,81.32,78,14,3.49,few clouds
27,Belmonte,BR,2021-10-27 14:59:31,-15.8631,-38.8828,81.1,66,30,11.12,scattered clouds
28,Asau,RO,2021-10-27 14:59:32,46.4333,26.4,54.52,49,18,1.68,few clouds
29,Chara,RU,2021-10-27 14:59:32,56.9064,118.2631,29.01,55,100,2.24,overcast clouds
30,Petropavlivka,UA,2021-10-27 14:59:32,48.4564,36.4367,44.51,33,0,4.21,clear sky
31,Sampit,ID,2021-10-27 14:59:33,-2.5333,112.95,76.82,93,38,1.48,scattered clouds
32,Timbiqui,CO,2021-10-27 14:59:33,2.7717,-77.6654,82.35,76,95,3.71,overcast clouds
33,Yumen,CN,2021-10-27 14:59:33,40.2833,97.2,45.84,36,79,10.45,broken clouds
34,Mukhen,RU,2021-10-27 14:59:34,48.1,136.1,40.57,89,100,2.86,light rain
35,Shush,IR,2021-10-27 14:59:34,32.1942,48.2436,78.17,17,0,1.59,clear sky
36,Jamestown,US,2021-10-27 14:55:15,42.097,-79.2353,50.29,96,90,5.99,overcast clouds
37,Port Alfred,ZA,2021-10-27 14:59:35,-33.5906,26.891,67.87,79,100,40.96,overcast clouds
38,Touros,BR,2021-10-27 14:59:35,-5.1989,-35.4608,88.7,53,54,18.28,broken clouds
39,Geraldton,AU,2021-10-27 14:59:35,-28.7667,114.6,59.41,82,40,0.0,scattered clouds
40,Menongue,AO,2021-10-27 14:59:36,-14.6585,17.691,78.21,46,96,7.72,overcast clouds
41,Vostok,RU,2021-10-27 14:59:36,46.4856,135.8833,34.65,98,100,2.06,moderate rain
42,Provideniya,RU,2021-10-27 14:59:36,64.3833,-173.3,14.27,79,100,9.75,overcast clouds
43,Soe,ID,2021-10-27 14:59:37,-9.8607,124.284,69.21,86,87,3.47,overcast clouds
44,Cidreira,BR,2021-10-27 14:59:37,-30.1811,-50.2056,77.05,48,5,7.56,clear sky
45,Atar,MR,2021-10-27 14:59:37,20.5169,-13.0499,85.96,35,54,21.09,broken clouds
46,Edd,ER,2021-10-27 14:59:38,13.9297,41.6925,91.92,43,12,22.77,few clouds
47,Alice Springs,AU,2021-10-27 14:59:38,-23.7,133.8833,78.35,44,69,8.05,broken clouds
48,Nikolskoye,RU,2021-10-27 14:59:38,59.7035,30.7861,48.87,83,100,7.94,light rain
49,Rawson,AR,2021-10-27 14:58:43,-43.3002,-65.1023,76.17,30,36,10.22,scattered clouds
50,Iqaluit,CA,2021-10-27 14:59:39,63.7506,-68.5145,28.13,92,75,0.0,broken clouds
51,Mizque,BO,2021-10-27 14:59:39,-17.941,-65.3402,75.63,31,11,6.08,few clouds
52,Laredo,US,2021-10-27 14:59:02,27.5064,-99.5075,84.2,19,0,23.4,clear sky
53,Beringovskiy,RU,2021-10-27 14:59:40,63.05,179.3167,7.25,89,95,19.84,overcast clouds
54,Lebu,CL,2021-10-27 14:59:40,-37.6167,-73.65,57.65,76,2,16.28,clear sky
55,Tuktoyaktuk,CA,2021-10-27 14:59:41,69.4541,-133.0374,26.6,100,90,3.44,overcast clouds
56,Chuy,UY,2021-10-27 14:59:41,-33.6971,-53.4616,85.78,42,0,1.63,clear sky
57,Cabo San Lucas,MX,2021-10-27 14:59:41,22.8909,-109.9124,77.5,80,74,4.81,broken clouds
58,Deep River,CA,2021-10-27 14:59:42,46.1001,-77.4995,49.95,73,100,5.7,overcast clouds
59,Pangnirtung,CA,2021-10-27 14:59:42,66.1451,-65.7125,32.0,74,75,14.97,broken clouds
60,Upernavik,GL,2021-10-27 14:59:42,72.7868,-56.1549,23.56,60,100,5.03,overcast clouds
61,Gat,IL,2021-10-27 14:56:03,31.61,34.7642,76.41,51,0,12.21,clear sky
62,Kollo,NE,2021-10-27 14:59:43,13.3043,2.339,102.63,14,5,9.1,clear sky
63,Rikitea,PF,2021-10-27 14:59:43,-23.1203,-134.9692,72.81,78,100,3.8,overcast clouds
64,Kismayo,SO,2021-10-27 14:59:44,-0.3582,42.5454,79.75,78,7,13.67,clear sky
65,Clyde River,CA,2021-10-27 14:59:44,70.4692,-68.5914,34.03,80,90,6.91,overcast clouds
66,Hohhot,CN,2021-10-27 14:59:44,40.8106,111.6522,39.49,45,0,2.24,clear sky
67,Vaini,TO,2021-10-27 14:59:45,-21.2,-175.2,73.56,88,40,9.22,light rain
68,Broken Hill,AU,2021-10-27 14:59:45,-31.95,141.4333,74.91,22,66,12.66,broken clouds
69,Kenai,US,2021-10-27 14:59:46,60.5544,-151.2583,31.14,80,83,4.59,broken clouds
70,New Norfolk,AU,2021-10-27 14:59:46,-42.7826,147.0587,58.91,53,100,1.01,overcast clouds
71,Krasnoarmeyskiy,RU,2021-10-27 14:59:46,47.0114,42.2072,40.77,45,5,7.0,clear sky
72,Yellowknife,CA,2021-10-27 14:57:20,62.456,-114.3525,38.41,100,90,0.0,overcast clouds
73,Okhotsk,RU,2021-10-27 14:59:47,59.3833,143.3,20.3,88,67,6.78,broken clouds
74,Pacific Grove,US,2021-10-27 14:59:47,36.6177,-121.9166,57.61,87,0,1.99,clear sky
75,Carnarvon,AU,2021-10-27 14:59:48,-24.8667,113.6333,66.27,63,90,16.11,overcast clouds
76,Lamu,KE,2021-10-27 14:59:48,-2.2717,40.902,79.43,80,8,12.24,clear sky
77,Ombessa,CM,2021-10-27 14:59:48,4.603,11.2565,77.41,81,69,2.93,broken clouds
78,Nago,JP,2021-10-27 14:59:49,26.5881,127.9761,73.56,73,6,9.28,clear sky
79,Nanortalik,GL,2021-10-27 14:59:49,60.1432,-45.2371,38.5,58,0,1.59,clear sky
80,Dalby,AU,2021-10-27 14:59:49,-27.1833,151.2667,71.98,71,2,1.99,clear sky
81,Barrow,US,2021-10-27 14:59:50,71.2906,-156.7887,12.13,97,99,3.42,overcast clouds
82,Civitavecchia,IT,2021-10-27 14:59:50,42.0933,11.7967,71.19,75,94,5.75,overcast clouds
83,Ashbourne,IE,2021-10-27 14:59:51,53.5108,-6.4272,62.35,88,75,16.11,light rain
84,Araceli,PH,2021-10-27 14:59:51,10.5529,119.9913,83.16,77,100,18.48,overcast clouds
85,Avarua,CK,2021-10-27 14:59:51,-21.2078,-159.775,71.65,83,40,9.22,light intensity drizzle
86,Airai,TL,2021-10-27 14:59:52,-8.9266,125.4092,63.55,90,95,1.45,overcast clouds
87,Talnakh,RU,2021-10-27 14:59:52,69.4865,88.3972,3.99,94,100,15.1,overcast clouds
88,Lavrentiya,RU,2021-10-27 14:59:52,65.5833,-171.0,15.53,74,97,7.0,overcast clouds
89,Kendari,ID,2021-10-27 14:59:53,-3.945,122.4989,79.11,83,35,2.28,scattered clouds
90,Bengkulu,ID,2021-10-27 14:59:53,-3.8004,102.2655,77.23,85,100,2.95,overcast clouds
91,Atuona,PF,2021-10-27 14:59:53,-9.8,-139.0333,77.43,68,30,14.5,scattered clouds
92,Georgetown,MY,2021-10-27 14:56:48,5.4112,100.3354,82.89,82,40,3.0,scattered clouds
93,Rawdon,CA,2021-10-27 14:57:04,46.0501,-73.7159,49.96,50,100,12.5,overcast clouds
